track_id,track_name,artist,album,popularity,duration_minutes,popularity_category,duration_category,inserted_at
3dhjNA0jGA8vHBQ1VdD6vV,I Feel It Coming,The Weeknd,Starboy,77,4.486433333333333,High,Medium,2025-09-28T17:25:10.928182
7MrdHOL2aoWfT16CncgNei,Monica,Anirudh Ravichander,Coolie (Original Motion Picture Soundtrack),71,3.6271166666666668,High,Medium,2025-09-28T17:25:12.442944
5KhKH476zkjKxraMZIo6in,Thani Oruvan - The Power of One,Hiphop Tamizha,Thani Oruvan (Original Motion Picture Soundtrack),54,3.8249833333333334,Medium,Medium,2025-09-28T17:25:12.726129
